Sno,Date,Time,State/UnionTerritory,Confirmed,Cured,Deaths
1,9/3/2020,6:00 PM,Karnataka,1,0,0
2,10/3/2020,6:00 PM,Karnataka,4,0,0
3,11/3/2020,6:00 PM,Karnataka,4,0,0
4,12/3/2020,6:00 PM,Karnataka,4,0,0
5,13/03/20,6:00 PM,Karnataka,6,0,1
6,14/03/20,6:00 PM,Karnataka,6,0,1
7,15/03/20,6:00 PM,Karnataka,6,0,1
8,16/03/20,6:00 PM,Karnataka,6,0,1
9,17/03/20,6:00 PM,Karnataka,11,0,1
10,18/03/20,6:00 PM,Karnataka,11,0,1
11,19/03/20,6:00 PM,Karnataka,14,0,1
12,20/03/20,6:00 PM,Karnataka,15,1,1
13,21/03/20,6:00 PM,Karnataka,15,1,1
14,22/03/20,6:00 PM,Karnataka,26,2,1
15,23/03/20,6:00 PM,Karnataka,33,2,1
16,24/03/20,6:00 PM,Karnataka,37,3,1
17,25/03/20,6:00 PM,Karnataka,41,3,1
18,26/03/20,6:00 PM,Karnataka,55,3,2
19,27/03/20,10:00 AM,Karnataka,55,3,2
20,28/03/20,6:00 PM,Karnataka,55,3,2
21,29/03/20,7:30 PM,Karnataka,76,5,3
22,30/03/20,9:30 PM,Karnataka,83,5,3
23,31/03/20,8:30 PM,Karnataka,83,5,3
24,1/4/2020,7:30 PM,Karnataka,101,8,3
25,2/4/2020,6:00 PM,Karnataka,110,9,3
26,3/4/2020,6:00 PM,Karnataka,124,10,3
27,4/4/2020,6:00 PM,Karnataka,128,12,3
28,5/4/2020,6:00 PM,Karnataka,144,12,4
29,6/4/2020,6:00 PM,Karnataka,151,12,4
30,7/4/2020,6:00 PM,Karnataka,175,25,4
31,8/4/2020,5:00 PM,Karnataka,175,25,4
32,9/4/2020,5:00 PM,Karnataka,181,28,5
33,10/4/2020,5:00 PM,Karnataka,197,30,6
34,11/4/2020,5:00 PM,Karnataka,214,37,6
35,12/4/2020,5:00 PM,Karnataka,226,37,6
36,13/04/20,5:00 PM,Karnataka,247,59,6
37,14/04/20,5:00 PM,Karnataka,258,65,9
38,15/04/20,5:00 PM,Karnataka,277,75,11
39,16/04/20,5:00 PM,Karnataka,315,82,13
40,17/04/20,5:00 PM,Karnataka,353,82,13
41,18/04/20,5:00 PM,Karnataka,371,92,13
42,19/04/20,5:00 PM,Karnataka,384,104,14
43,20/04/20,5:00 PM,Karnataka,395,111,16
44,21/04/20,5:00 PM,Karnataka,415,114,17
45,22/04/20,5:00 PM,Karnataka,425,129,17
46,23/04/20,5:00 PM,Karnataka,443,141,17
47,24/04/20,5:00 PM,Karnataka,463,150,18
48,25/04/20,5:00 PM,Karnataka,489,153,18
49,26/04/20,5:00 PM,Karnataka,501,177,18
50,27/04/20,5:00 PM,Karnataka,511,188,20
51,28/04/20,5:00 PM,Karnataka,520,198,20
52,29/04/20,5:00 PM,Karnataka,532,215,20
53,30/04/20,5:00 PM,Karnataka,557,223,21
54,1/5/2020,5:00 PM,Karnataka,576,235,22
55,2/5/2020,5:00 PM,Karnataka,589,251,22
56,3/5/2020,5:00 PM,Karnataka,606,282,25
57,4/5/2020,5:00 PM,Karnataka,642,304,26
58,5/5/2020,5:00 PM,Karnataka,659,324,28
59,6/5/2020,8:00 AM,Karnataka,671,331,29
60,7/5/2020,8:00 AM,Karnataka,693,354,29
61,8/5/2020,8:00 AM,Karnataka,705,366,30
62,9/5/2020,8:00 AM,Karnataka,753,376,30
63,10/5/2020,8:00 AM,Karnataka,794,386,30
64,11/5/2020,8:00 AM,Karnataka,848,424,31
65,12/5/2020,8:00 AM,Karnataka,862,426,31
66,13/05/20,8:00 AM,Karnataka,925,433,31
67,14/05/20,8:00 AM,Karnataka,959,451,33
68,15/05/20,8:00 AM,Karnataka,987,460,35
69,16/05/20,8:00 AM,Karnataka,1056,480,36
70,17/05/20,8:00 AM,Karnataka,1092,496,36
71,18/05/20,8:00 AM,Karnataka,1147,509,37
72,19/05/20,8:00 AM,Karnataka,1246,530,37
73,20/05/20,8:00 AM,Karnataka,1397,544,40
74,21/05/20,8:00 AM,Karnataka,1462,556,41
75,22/05/20,8:00 AM,Karnataka,1605,571,41
76,23/05/20,8:00 AM,Karnataka,1743,597,41
77,24/05/20,8:00 AM,Karnataka,1959,608,42
78,25/05/20,8:00 AM,Karnataka,2089,654,42
79,26/05/20,8:00 AM,Karnataka,2182,705,44
80,27/05/20,8:00 AM,Karnataka,2283,748,44
81,28/05/20,8:00 AM,Karnataka,2418,781,47
82,29/05/20,8:00 AM,Karnataka,2533,834,47
83,30/05/20,8:00 AM,Karnataka,2781,894,48
84,31/05/20,8:00 AM,Karnataka,2922,997,48
85,1/6/2020,8:00 AM,Karnataka,3221,1218,51
86,2/6/2020,8:00 AM,Karnataka,3408,1328,52
87,3/6/2020,8:00 AM,Karnataka,3796,1403,52
88,4/6/2020,8:00 AM,Karnataka,4063,1514,53
89,5/6/2020,8:00 AM,Karnataka,4320,1610,57
90,6/6/2020,8:00 AM,Karnataka,4835,1688,57
91,7/6/2020,8:00 AM,Karnataka,5213,1968,59
92,8/6/2020,8:00 AM,Karnataka,5452,2132,61
93,9/6/2020,8:00 AM,Karnataka,5760,2519,64
94,10/6/2020,8:00 AM,Karnataka,5921,2604,66
95,11/6/2020,8:00 AM,Karnataka,6041,2862,69
96,12/6/2020,8:00 AM,Karnataka,6245,2977,72
97,13/06/20,8:00 AM,Karnataka,6516,3440,79
98,14/06/20,8:00 AM,Karnataka,6824,3648,81
99,15/06/20,8:00 AM,Karnataka,7000,3955,86
100,16/06/20,8:00 AM,Karnataka,7213,4135,89
101,17/06/20,8:00 AM,Karnataka,7530,4456,94
102,18/06/20,8:00 AM,Karnataka,7734,4804,102
103,19/06/20,8:00 AM,Karnataka,7944,4983,114
104,20/06/20,8:00 AM,Karnataka,8281,5210,124
105,21/06/20,8:00 AM,Karnataka,8697,5391,132
106,22/06/20,8:00 AM,Karnataka,9150,5618,137
107,23/06/20,8:00 AM,Karnataka,9399,5730,142
108,24/06/20,8:00 AM,Karnataka,9721,6004,150
109,25/06/20,8:00 AM,Karnataka,10118,6151,164
110,26/06/20,8:00 AM,Karnataka,10560,6670,170
111,27/06/20,8:00 AM,Karnataka,11005,6916,180
112,28/06/20,8:00 AM,Karnataka,11923,7287,191
113,29/06/20,8:00 AM,Karnataka,13190,7507,207
114,30/06/20,8:00 AM,Karnataka,14295,7683,226
