Sno,Date,Time,State,Confirmed,Cured,Deaths
1,19/11/20,8:00 AM,Karnataka,865931,834968,11641
2,20/11/20,8:00 AM,Karnataka,867780,836505,11654
3,21/11/20,8:00 AM,Karnataka,869561,838150,11678
4,22/11/20,8:00 AM,Karnataka,871342,840099,11695
5,23/11/20,8:00 AM,Karnataka,873046,841432,11714
6,24/11/20,8:00 AM,Karnataka,874555,842499,11726
7,25/11/20,8:00 AM,Karnataka,876425,843950,11738
8,26/11/20,8:00 AM,Karnataka,878055,846082,11750
9,27/11/20,8:00 AM,Karnataka,879560,847612,11765
10,28/11/20,8:00 AM,Karnataka,881086,849821,11778
11,29/11/20,8:00 AM,Karnataka,882608,850707,11792
12,30/11/20,8:00 AM,Karnataka,883899,851690,11808
13,1/12/2020,8:00 AM,Karnataka,884897,852584,11821
14,2/12/2020,8:00 AM,Karnataka,886227,853461,11834
15,3/12/2020,8:00 AM,Karnataka,887667,854861,11846
16,4/12/2020,8:00 AM,Karnataka,889113,855750,11856
17,5/12/2020,8:00 AM,Karnataka,890360,857351,11867
18,6/12/2020,8:00 AM,Karnataka,891685,858370,11880
19,7/12/2020,8:00 AM,Karnataka,893006,858370,11880
20,8/12/2020,8:00 AM,Karnataka,894004,858370,11880
21,9/12/2020,8:00 AM,Karnataka,895284,858370,11880
